Region,Province,CityMun,MuniPSGC,ActiveCases
Region III: Central Luzon,PAMPANGA,MAGALANG,PH035411000,1
CAR,APAYAO,SANTA MARCELA,PH148107000,2
Region IV-A: CALABARZON,BATANGAS,SAN JUAN,PH041023000,1
Region VII: Central Visayas,CEBU,MINGLANILLA,PH072232000,2
Region IV-A: CALABARZON,QUEZON,GUMACA,PH045619000,4
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,SINACABAN,PH104214000,1
Region IV-A: CALABARZON,QUEZON,SAN FRANCISCO (AURORA),PH045642000,1
Region II: Cagayan Valley,NUEVA VIZCAYA,SOLANO,PH025013000,9
Region II: Cagayan Valley,ISABELA,DELFIN ALBANO (MAGSAYSAY),PH023118000,1
Region IV-A: CALABARZON,LAGUNA,MAJAYJAY,PH043416000,1
CAR,MOUNTAIN PROVINCE,BONTOC (Capital),PH144404000,1
Region IV-B: MIMAROPA,ORIENTAL MINDORO,PINAMALAYAN,PH175209000,1
Region II: Cagayan Valley,CAGAYAN,GONZAGA,PH021514000,2
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,MAHAYAG,PH097315000,2
Region III: Central Luzon,AURORA,MARIA AURORA,PH037707000,1
Region VI: Western Visayas,CAPIZ,PONTEVEDRA,PH061912000,1
Region VIII: Eastern Visayas,LEYTE,ALANGALANG,PH083702000,2
Region IV-A: CALABARZON,CAVITE,IMUS CITY,PH042109000,11
Region VI: Western Visayas,ANTIQUE,BUGASONG,PH060604000,3
Region III: Central Luzon,TARLAC,CONCEPCION,PH036905000,11
Region II: Cagayan Valley,ISABELA,REINA MERCEDES,PH023125000,2
Region III: Central Luzon,NUEVA ECIJA,CABIAO,PH034904000,5
CAR,MOUNTAIN PROVINCE,SADANGA,PH144408000,1
Region IV-B: MIMAROPA,PALAWAN,ABORLAN,PH175301000,2
CAR,KALINGA,TINGLAYAN,PH143215000,1
Region IV-A: CALABARZON,CAVITE,INDANG,PH042110000,1
Region IV-A: CALABARZON,LAGUNA,SINILOAN,PH043429000,1
Region XII: SOCCSKSARGEN,SARANGANI,MALAPATAN,PH128006000,1
Region III: Central Luzon,BULACAN,OBANDO,PH031414000,1
Region XI: Davao Region,DAVAO DEL NORTE,CARMEN,PH112303000,1
Region II: Cagayan Valley,CAGAYAN,PIAT,PH021520000,1
Region V: Bicol Region,CAMARINES SUR,SIPOCOT,PH051734000,1
Region II: Cagayan Valley,ISABELA,TUMAUINI,PH023137000,2
Region VII: Central Visayas,SIQUIJOR,SIQUIJOR (Capital),PH076106000,2
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),ARAKAN,PH124718000,1
CAR,APAYAO,CALANASAN (BAYAG),PH148101000,1
Region III: Central Luzon,ZAMBALES,SAN FELIPE,PH037110000,1
Region VII: Central Visayas,BOHOL,INABANGA,PH071224000,1
NCR,METRO MANILA,CITY OF MALABON,PH137502000,10
Region III: Central Luzon,NUEVA ECIJA,SAN ANTONIO,PH034924000,1
Region VII: Central Visayas,BOHOL,PANGLAO,PH071233000,2
Region VII: Central Visayas,CEBU,OSLOB,PH072235000,1
Region I: Ilocos Region,ILOCOS SUR,NARVACAN,PH012914000,3
Region VI: Western Visayas,ILOILO,ZARRAGA,PH063047000,2
Region X: Northern Mindanao,LANAO DEL NORTE,KAPATAGAN,PH103505000,1
Region IV-A: CALABARZON,BATANGAS,SAN PASCUAL,PH041026000,2
Region IV-A: CALABARZON,LAGUNA,CALAUAN,PH043406000,3
Region II: Cagayan Valley,QUIRINO,DIFFUN,PH025703000,1
Region II: Cagayan Valley,CAGAYAN,ALLACAPAN,PH021503000,1
BARMM,MAGUINDANAO,UPI,PH153815000,1
Region X: Northern Mindanao,LANAO DEL NORTE,BACOLOD,PH103501000,1
Region VII: Central Visayas,BOHOL,GETAFE,PH071226000,1
NCR,METRO MANILA,CITY OF PASIG,PH137403000,75
Region I: Ilocos Region,ILOCOS NORTE,BADOC,PH012803000,1
Region I: Ilocos Region,PANGASINAN,SISON,PH015541000,1
Region III: Central Luzon,NUEVA ECIJA,SANTO DOMINGO,PH034929000,5
Region IV-A: CALABARZON,LAGUNA,SANTA CRUZ (Capital),PH043426000,6
Region III: Central Luzon,NUEVA ECIJA,TALAVERA,PH034930000,2
Region III: Central Luzon,PAMPANGA,MABALACAT CITY,PH035409000,1
Region III: Central Luzon,ZAMBALES,IBA (Capital),PH037105000,3
Region V: Bicol Region,CAMARINES SUR,CABUSAO,PH051707000,1
Region V: Bicol Region,ALBAY,GUINOBATAN,PH050504000,3
BARMM,BASILAN,CITY OF LAMITAN,PH150702000,1
Region VI: Western Visayas,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),PH064508000,2
Region I: Ilocos Region,ILOCOS NORTE,PAOAY,PH012816000,1
Region VI: Western Visayas,ILOILO,DUMANGAS,PH063018000,2
CAR,ABRA,VILLAVICIOSA,PH140127000,1
Region II: Cagayan Valley,ISABELA,CABAGAN,PH023106000,5
BARMM,MAGUINDANAO,DATU ODIN SINSUAT (DINAIG),PH153807000,3
NCR,METRO MANILA,CITY OF NAVOTAS,PH137503000,12
Region II: Cagayan Valley,QUIRINO,CABARROGUIS (Capital),PH025702000,1
Region X: Northern Mindanao,MISAMIS ORIENTAL,VILLANUEVA,PH104326000,1
CAR,ABRA,BUCAY,PH140103000,1
Region VI: Western Visayas,ILOILO,POTOTAN,PH063037000,1
Region III: Central Luzon,NUEVA ECIJA,GUIMBA,PH034911000,3
Region VII: Central Visayas,CEBU,SIBONGA,PH072246000,1
Region VII: Central Visayas,SIQUIJOR,MARIA,PH076104000,1
Region V: Bicol Region,ALBAY,MALILIPOT,PH050509000,2
Region VIII: Eastern Visayas,LEYTE,DAGAMI,PH083717000,1
Region I: Ilocos Region,ILOCOS SUR,TAGUDIN,PH012933000,1
Region IV-A: CALABARZON,CAVITE,CAVITE CITY,PH042105000,2
Region IV-A: CALABARZON,BATANGAS,TAYSAN,PH041032000,1
Region I: Ilocos Region,PANGASINAN,CITY OF ALAMINOS,PH015503000,2
Region VI: Western Visayas,AKLAN,NABAS,PH060414000,1
NCR,METRO MANILA,PATEROS,PH137606000,1
Region II: Cagayan Valley,ISABELA,QUEZON,PH023122000,2
Region III: Central Luzon,BULACAN,PULILAN,PH031418000,3
Region XI: Davao Region,DAVAO DEL SUR,BANSALAN,PH112401000,3
Region III: Central Luzon,NUEVA ECIJA,CITY OF GAPAN,PH034908000,3
Region VI: Western Visayas,ANTIQUE,SIBALOM,PH060616000,2
Region X: Northern Mindanao,CAMIGUIN,GUINSILIBAN,PH101802000,1
Region VI: Western Visayas,ILOILO,BADIANGAN,PH063004000,1
BARMM,LANAO DEL SUR,MARANTAO,PH153616000,1
Region IX: Zamboanga Peninsula,CITY OF ISABELA,CITY OF ISABELA,PH099701000,2
Region III: Central Luzon,PAMPANGA,SAN LUIS,PH035417000,5
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),CITY OF KIDAPAWAN (Capital),PH124704000,8
